label,data
0,"though the film is well-intentioned , one could rent the original and get the same love story and parable . "
0,"no dia em que aceitou dirigir esta continuação , harold ramis deve ter saído da cama com o pé esquerdo . e aqueles que decidiram assistir a este filme também . "
0,aimed squarely at the least demanding of demographic groups : very small children who will be delighted simply to spend more time with familiar cartoon characters . 
0,beautifully written and directed and packed with excellent performances . 
0,"has no reason to exist , other than to employ hollywood kids and people who owe favors to their famous parents . "
0,"clint eastwood's blood work is a lot like a well-made pb& j sandwich : familiar , fairly uneventful and boasting no real surprises  but still quite tasty and inviting all the same . "
0,"fans of plympton's shorts may marginally enjoy the film , but it is doubtful this listless feature will win him any new viewers . "
0,"the sweetest thing , a romantic comedy with outrageous tendencies , may be a mess in a lot of ways . but it does have one saving grace . a lot of its gags and observations reflect a woman's point-of-view . "
1,"chon lin follows rathbone to london to kill him , while sending chon a letter telling him of the murder . "
1,it would seem that nothing is capable of distracting scotty johns from working on his much-anticipated second book . 
0,"certainly not a good movie , but it wasn't horrible either . "
1,"uncompromising in his work , sullivan is just as devoted to his private life as an upstanding husband and father of two young boys . "
0,it's not as awful as some of the recent hollywood trip tripe . . . but it's far from a groundbreaking endeavor . 
1,"greg puts up with martha's harsh criticism in exchange for a place to lay-low until he can evade the police and repair his delicate relationship with his young daughter , chelsea . "
1,seeing these old cars in recent films and photographs one wonders how they have maintained them after decades with no spare parts and an embargo by the united states . 
0,"just one more collection of penis , breast and flatulence gags in search of a story . or a profit . or some damn thing . "
1,"she - pert , forward , a ball of fire - has just thrown her mobile away after an angry tete-a-tete with her ( ex- ) boyfriend . "
1,"this causes duncan's father ( jenkins ) further grief , who doesn't understand his son's unusual mourning rituals . "
0,"the best didacticism is one carried by a strong sense of humanism , and bertrand tavernier's oft-brilliant safe conduct ( "" laissez-passer "" ) wears its heart on its sleeve . "
0,"impresses as a skillfully assembled , highly polished and professional adaptation . . . just about as chilling and unsettling as 'manhunter' was . "
1,an action comedy prequel to spang olsen's box office hit in china they eat dogs . 
1,he then goes to paris where he prepares to make a political film criticizing the state of repression in his native land . 
0,"instead of trying to bust some blondes , [diggs] should be probing why a guy with his talent ended up in a movie this bad . "
1,"documentary-style drama showing the events that lead up to the tragic incident on january 30 , 1972 in the northern ireland town of derry when a protest march led by civil rights activist ivan cooper was fired upon by british troops , killing 13 protesters and wounding 14 more . "
0,"a time machine , a journey back to your childhood , when cares melted away in the dark theater , and films had the ability to mesmerize , astonish and entertain . "
0,all the well-meaningness in the world can't erase the fact that the believer feels like a 12-step program for the jewish nazi . 
1,"soon after , however , his ex loses her tv show , and comes back home , looking to reunite . "
0,"what's most memorable about circuit is that it's shot on digital video , whose tiny camera enables shafer to navigate spaces both large . . . and small . . . with considerable aplomb . "
0,"scooby doo is surely everything its fans are hoping it will be , and in that sense is a movie that deserves recommendation . "
0,"the holes in this film remain agape -- holes punched through by an inconsistent , meandering , and sometimes dry plot . "
0,all the movie's narrative gymnastics can't disguise the fact that it's inauthentic at its core and that its story just isn't worth telling . 
1,"she arrives with every intent of selling it all off and going back to her busy career , but in going through her grandmother's belongings , she discovers much about her family's past which ultimately makes her re-evaluate her life and values . "
0," . . . with "" the bourne identity "" we return to the more traditional action genre . "
0,"frustratingly , dridi tells us nothing about el gallo other than what emerges through his music . "
0,"the acting , costumes , music , cinematography and sound are all astounding given the production's austere locales . "
1,"upon one of his famous , hand-made tortillas appears the face of jesus christ . "
0,i walked away from this new version of e . t . just as i hoped i would -- with moist eyes . 
0,the title trapped turns out to be a pretty fair description of how you feel while you're watching this ultra-manipulative thriller . 
1,"terror at tate manor is an independent horror film set in a real haunted house , rich in ghost and spirit sightings , and quite active throughout the filming . "
1,"until she leaves to the kitchen and he finds out that under the bed a male shoe that does not belong to him is carefully hidden by a male hand , under his own eyes . "
1," "" cold mountain "" tells the story of a wounded confederate soldier named inman ( jude law ) who struggles on a perilous journey to get back home to cold mountain , n . c . as well as to ada ( nicole kidman ) , the woman he left behind before going off to fight in the civil war . "
0,i was sent a copyof this film to review on dvd . for free . i still want my money back . 
0,"the overall result is an intelligent , realistic portrayal of testing boundaries . "
0,"an occasionally funny , but overall limp , fish-out-of-water story . "
0,"a vile , incoherent mess . . . a scummy ripoff of david cronenberg's brilliant 'videodrome . '"
0,"i enjoyed "" formula 51 "" in a guilty kind of way"
0,"from the choppy editing to the annoying score to 'special effects' by way of replacing objects in a character's hands below the camera line , "" besotted "" is misbegotten"
1,the film centres around three female supermodels who live and work together . 
1,"michael , sr . and michael , jr . then set out to get revenge on the man who killed peter and mrs . sullivan . "
1,the trail is strewn with corpses and everything points to them as the killers . 
0,don't let the subtitles fool you ; the movie only proves that hollywood no longer has a monopoly on mindless action . 
0,about a boy will warm your heart without making you feel guilty about it . 
0,"without blowing the jokes we can say that , if you have found that your sense of humor fit well with christopher guest's screen outings , you'll find yourself in the flow with shearer as well . "
0,despite the surface attractions -- conrad l . hall's cinematography will likely be nominated for an oscar next year -- there's something impressive and yet lacking about everything . 
1,"lotte goes to live with her upper middle class dutch aunt in holland , anna to work as a farm hand on her german uncle's rural farm . "
0,"the best part about "" gangs "" was daniel day-lewis . "
0, . . . a rousing fantasy of bloodless revolution against capricious colonial rulers . 
1,"what they soon realize , though , is they are not alone in hypertime . "
0,nights feels more like a quickie tv special than a feature film . . . it's not even a tv special you'd bother watching past the second commercial break . 
