label,data
0,Mumbai officials demolish 39K shanties; 200K homeless
0,"Wales win Grand Slam, RBS Six Nations and the Triple Crown"
0,Hungarian conservative party wins majority in parliament
0,Rumsfeld to remain in Bush administration
1,29 Things That Will Make You Cringe So Hard You'll Never Recover
0,"On Arab TV Network, Obama Urges Dialogue"
0,Indiana congressional candidate Tony Zirkle defends speech at Nazi meeting
0,"Mitt Romney suspends his United States presidential campaign, McCain and Huckabee remain fighting for GOP nomination"
1,How To Slay Tinder F**kboys
0,DR Congo transport minister sacked after numerous boat accidents
1,21 Signs Your Date Isn't Going Well
0,Baghdad judge clears pair of murdering six foreign soldiers
1,Anne Hathaway Comes To Jennifer Lawrence's Defense About That Phone Scolding Incident
1,This Is Probably Why Shia LaBeouf Blocked Seth Rogen On Twitter
0,Tracking Loans Through a Firm That Holds Millions
1,27 Tweets That Will Make Tall People Laugh Out Loud
1,"Which ""Kung Fu Panda"" Character Are You Most Like"
0,Naoto Kan elected new Prime Minister of Japan
1,17 Albums That Prove 2005 Was Actually The Golden Era Of Emo
1,How Much Of An Instagram Cliche Are You
0,Ice Hockey: Blackhawks take first 2010 Stanley Cup Finals game in 11-goal thriller
0,Central banks worldwide cut interest rates
1,This Lingerie Model Was Born Without Legs And Uses A Skateboard To Get Around
0,Ford Rejects Big Cuts in Dealer Network
1,29 Hilarious Fake Literary Band Names
1,Here's What Real Vegans Actually Eat
1,The One-Pan Dish Using Quinoa You Need To Make For Dinner ASAP
1,Four Hollywood Icons On What Made Them Proud To Be A Woman In 2015
1,Are You More Jack Black Or Jack White
1,"Tom Hanks And Jimmy Fallon Act Out ""Bridge Of Spies"" In Its Truest Form"
1,33 Bad Puns
0,DNA components found in meteorites
0,Anonymous muscle in on Canadian teen rape case
1,14 Basic And Brilliant Ways To Use Sriracha
0,Ferry collision on the river Mersey
1,17 Things You Should Do If You Are Single On Valentine's Day
0,Breakthrough Victory  for an Australian in Formula One
